,0
0,Open
1,High
2,Low
3,Close
4,Adj Close
5,Volume
6,volume_adi
7,volume_obv
8,volume_cmf
9,volume_fi
10,volume_em
11,volume_sma_em
12,volume_vpt
13,volume_vwap
14,volume_mfi
15,volume_nvi
16,volatility_bbm
17,volatility_bbh
18,volatility_bbl
19,volatility_bbw
20,volatility_bbp
21,volatility_bbhi
22,volatility_bbli
23,volatility_kcc
24,volatility_kch
25,volatility_kcl
26,volatility_kcw
27,volatility_kcp
28,volatility_kchi
29,volatility_kcli
30,volatility_dcl
31,volatility_dch
32,volatility_dcm
33,volatility_dcw
34,volatility_dcp
35,volatility_atr
36,volatility_ui
37,trend_macd
38,trend_macd_signal
39,trend_macd_diff
40,trend_sma_fast
41,trend_sma_slow
42,trend_ema_fast
43,trend_ema_slow
44,trend_vortex_ind_pos
45,trend_vortex_ind_neg
46,trend_vortex_ind_diff
47,trend_trix
48,trend_mass_index
49,trend_dpo
50,trend_kst
51,trend_kst_sig
52,trend_kst_diff
53,trend_ichimoku_conv
54,trend_ichimoku_base
55,trend_ichimoku_a
56,trend_ichimoku_b
57,trend_stc
58,trend_adx
59,trend_adx_pos
60,trend_adx_neg
61,trend_cci
62,trend_visual_ichimoku_a
63,trend_visual_ichimoku_b
64,trend_aroon_up
65,trend_aroon_down
66,trend_aroon_ind
67,trend_psar_up
68,trend_psar_down
69,trend_psar_up_indicator
70,trend_psar_down_indicator
71,momentum_rsi
72,momentum_stoch_rsi
73,momentum_stoch_rsi_k
74,momentum_stoch_rsi_d
75,momentum_tsi
76,momentum_uo
77,momentum_stoch
78,momentum_stoch_signal
79,momentum_wr
80,momentum_ao
81,momentum_roc
82,momentum_ppo
83,momentum_ppo_signal
84,momentum_ppo_hist
85,momentum_pvo
86,momentum_pvo_signal
87,momentum_pvo_hist
88,momentum_kama
89,others_dr
90,others_dlr
91,others_cr
